Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,ASR (World),Crude rate,Cumulative risk
AFG,6,004,4,Afghanistan,0,755,-,-,4.3,1.8,0.51
ALB,6,008,8,Albania,0,73,-,-,1.4,2.6,0.18
DZA,6,012,12,Algeria,0,427,-,-,0.91,0.91,0.11
AGO,6,024,24,Angola,0,695,-,-,3.6,1.8,0.44
ARG,6,032,32,Argentina,0,2357,-,-,3.3,5.2,0.38
ARM,6,051,51,Armenia,0,43,-,-,0.83,1.5,0.10
AUS,6,036,36,Australia,0,1779,-,-,3.1,6.7,0.37
AUT,6,040,40,Austria,0,470,-,-,2.2,5.2,0.27
AZE,6,031,31,Azerbaijan,0,473,-,-,3.7,4.6,0.43
BHS,6,044,44,Bahamas,0,11,-,-,1.8,2.7,0.26
BHR,6,048,48,Bahrain,0,14,-,-,1.2,0.87,0.13
BGD,6,050,50,Bangladesh,0,29410,-,-,18.7,16.9,2.1
BRB,6,052,52,Barbados,0,8,-,-,1.2,2.8,0.16
BLR,6,112,112,Belarus,0,633,-,-,3.8,7.0,0.48
BEL,6,056,56,Belgium,0,1158,-,-,4.2,9.9,0.54
BLZ,6,084,84,Belize,0,3,-,-,0.92,0.72,0.13
BEN,6,204,204,Benin,0,252,-,-,3.2,1.7,0.43
BTN,6,064,64,Bhutan,0,40,-,-,5.4,5.1,0.62
BOL,6,068,68,Bolivia (Plurinational State of),0,150,-,-,1.4,1.2,0.15
BIH,6,070,70,Bosnia Herzegovina,0,89,-,-,1.2,2.8,0.15
BWA,6,072,72,Botswana,0,151,-,-,9.9,6.0,1.3
BRA,6,076,76,Brazil,0,12079,-,-,4.0,5.7,0.48
BRN,6,096,96,Brunei Darussalam,0,4,-,-,0.81,0.86,0.10
BGR,6,100,100,Bulgaria,0,238,-,-,1.7,3.5,0.21
BFA,6,854,854,Burkina Faso,0,322,-,-,3.0,1.4,0.37
BDI,6,108,108,Burundi,0,460,-,-,7.6,3.3,0.90
KHM,6,116,116,Cambodia,0,270,-,-,1.7,1.5,0.21
CMR,6,120,120,Cameroon,0,166,-,-,1.2,0.57,0.15
CAN,6,124,124,Canada,0,2697,-,-,3.0,6.8,0.36
CPV,6,132,132,Cape Verde,0,19,-,-,3.7,3.6,0.47
CAF,6,140,140,Central African Republic,0,51,-,-,2.5,0.96,0.34
TCD,6,148,148,Chad,0,283,-,-,2.6,1.4,0.27
CHL,6,152,152,Chile,0,761,-,-,1.8,3.9,0.18
CHN,6,156,156,China,0,200541,-,-,7.0,14.3,0.87
COL,6,170,170,Colombia,0,998,-,-,1.4,1.9,0.15
COM,6,174,174,Comoros,0,60,-,-,9.8,6.9,1.1
COD,6,180,180,"Congo, Democratic Republic of",0,3343,-,-,6.2,3.1,0.74
COG,6,178,178,"Congo, Republic of",0,14,-,-,0.45,0.22,0.07
CRI,6,188,188,Costa Rica,0,77,-,-,0.82,1.5,0.09
HRV,6,191,191,Croatia,0,197,-,-,2.2,5.1,0.28
CUB,6,192,192,Cuba,0,981,-,-,4.3,8.9,0.52
CUW,6,531,531,Curaçao,0,14,-,-,3.6,7.6,0.44
CYP,6,196,196,Cyprus,0,17,-,-,0.72,1.3,0.09
CZE,6,203,203,Czechia,0,671,-,-,3.0,6.3,0.38
CIV,6,384,384,"Côte d'Ivoire",0,209,-,-,1.3,0.65,0.12
DNK,6,208,208,Denmark,0,578,-,-,3.8,9.7,0.50
DJI,6,262,262,Djibouti,0,33,-,-,3.5,2.8,0.47
DOM,6,214,214,Dominican Republic,0,212,-,-,1.7,1.9,0.22
ECU,6,218,218,Ecuador,0,182,-,-,0.81,1.0,0.07
EGY,6,818,818,Egypt,0,1186,-,-,1.3,1.0,0.15
SLV,6,222,222,El Salvador,0,80,-,-,1.1,1.3,0.10
GNQ,6,226,226,Equatorial Guinea,0,15,-,-,1.1,0.79,0.14
ERI,6,232,232,Eritrea,0,80,-,-,3.6,2.3,0.44
EST,6,233,233,Estonia,0,95,-,-,3.4,7.0,0.46
SWZ,6,748,748,Eswatini,0,11,-,-,1.4,0.89,0.22
ETH,6,231,231,Ethiopia,0,1855,-,-,2.5,1.4,0.29
FJI,6,242,242,Fiji,0,24,-,-,2.7,2.6,0.28
FIN,6,246,246,Finland,0,400,-,-,2.7,7.1,0.34
FRA,6,250,250,France (metropolitan),0,5170,-,-,3.4,7.8,0.41
GLP,6,312,312,"France, Guadeloupe",0,24,-,-,2.7,6.4,0.34
REU,6,638,638,"France, La Réunion",0,56,-,-,3.6,6.4,0.52
MTQ,6,474,474,"France, Martinique",0,17,-,-,1.9,5.0,0.26
GUF,6,254,254,French Guyana,0,9,-,-,3.0,2.9,0.35
PYF,6,258,258,French Polynesia,0,15,-,-,3.4,5.3,0.39
GAB,6,266,266,Gabon,0,18,-,-,1.0,0.71,0.14
PSE,6,275,275,Gaza Strip and West Bank,0,24,-,-,0.72,0.44,0.08
GEO,6,268,268,Georgia,0,100,-,-,1.4,2.6,0.15
DEU,6,276,276,Germany,0,7647,-,-,3.6,9.0,0.47
GHA,6,288,288,Ghana,0,208,-,-,0.93,0.60,0.14
GRC,6,300,300,Greece,0,282,-,-,1.1,2.8,0.13
GUM,6,316,316,Guam,0,2,-,-,0.84,1.2,0.12
GTM,6,320,320,Guatemala,0,170,-,-,1.3,0.92,0.13
GIN,6,324,324,Guinea,0,52,-,-,0.66,0.35,0.08
GNB,6,624,624,Guinea-Bissau,0,15,-,-,1.3,0.68,0.13
GUY,6,328,328,Guyana,0,6,-,-,0.74,0.72,0.10
HTI,6,332,332,Haiti,0,268,-,-,3.0,2.3,0.34
HND,6,340,340,Honduras,0,99,-,-,1.4,0.91,0.16
HUN,6,348,348,Hungary,0,567,-,-,2.9,5.9,0.37
ISL,6,352,352,Iceland,0,27,-,-,3.4,6.9,0.43
IND,6,356,356,India,0,57686,-,-,3.9,4.0,0.47
IDN,6,360,360,Indonesia,0,1463,-,-,0.47,0.52,0.06
IRN,6,364,364,"Iran, Islamic Republic of",0,5008,-,-,4.7,5.5,0.54
IRQ,6,368,368,Iraq,0,227,-,-,0.83,0.49,0.10
IRL,6,372,372,Ireland,0,551,-,-,5.2,10.5,0.61
ISR,6,376,376,Israel,0,148,-,-,0.99,1.6,0.12
ITA,6,380,380,Italy,0,2472,-,-,1.5,4.2,0.18
JAM,6,388,388,Jamaica,0,83,-,-,2.5,2.9,0.23
JPN,6,392,392,Japan,0,27449,-,-,7.3,22.2,0.96
JOR,6,400,400,Jordan,0,41,-,-,0.49,0.35,0.05
KAZ,6,398,398,Kazakhstan,0,907,-,-,3.7,4.4,0.47
