iso3,pais,qualidade_proporcao_histologica,oac_asr_ambos_sexos,oac_n_ambos_sexos,oac_asr_masculino,oac_n_masculino,oac_asr_feminino,oac_n_feminino,oscc_asr_ambos_sexos,oscc_n_ambos_sexos,oscc_asr_masculino,oscc_n_masculino,oscc_asr_feminino,oscc_n_feminino
AFG,Afghanistan,proxy_regional,0.7,103.0,0.9,70.0,0.4,33.0,7.5,1202.0,8.7,675.0,6.4,527.0
ALB,Albania,proxy_regional,0.2,15.0,0.5,13.0,0.1,2.0,0.6,37.0,1.1,31.0,0.2,6.0
DZA,Algeria,dado_proprio_do_pais,0.3,111.0,0.4,79.0,0.2,32.0,0.5,206.0,0.4,89.0,0.6,117.0
AGO,Angola,proxy_regional,0.3,39.0,0.4,25.0,0.2,15.0,2.2,297.0,3.2,188.0,1.5,109.0
ARG,Argentina,dado_proprio_do_pais,1.1,738.0,2.0,549.0,0.4,189.0,2.4,1551.0,3.5,951.0,1.5,600.0
ARM,Armenia,proxy_regional,0.4,17.0,0.7,14.0,0.1,3.0,0.7,34.0,1.1,20.0,0.5,13.0
AUS,Australia,dado_proprio_do_pais,2.0,955.0,3.6,819.0,0.5,135.0,1.3,687.0,1.7,387.0,1.0,299.0
AUT,Austria,dado_proprio_do_pais,1.0,191.0,1.8,155.0,0.3,36.0,1.6,277.0,2.6,213.0,0.6,64.0
AZE,Azerbaijan,proxy_regional,1.7,175.0,2.8,125.0,0.8,50.0,3.8,404.0,4.0,184.0,3.6,220.0
BHS,Bahamas,proxy_regional,0.6,3.0,1.2,3.0,0.1,0.0,1.2,6.0,2.3,6.0,0.3,1.0
BHR,Bahrain,proxy_regional,0.4,3.0,0.5,2.0,0.2,1.0,0.8,6.0,0.7,3.0,0.9,3.0
BGD,Bangladesh,proxy_regional,1.2,1658.0,1.7,1219.0,0.6,439.0,13.5,19147.0,16.9,12200.0,10.1,6947.0
BRB,Barbados,proxy_regional,0.4,3.0,0.7,2.0,0.1,1.0,0.7,5.0,1.3,4.0,0.3,1.0
BLR,Belarus,dado_proprio_do_pais,0.4,73.0,1.0,63.0,0.1,9.0,3.0,485.0,6.8,450.0,0.3,35.0
BEL,Belgium,dado_proprio_do_pais,2.0,490.0,3.5,398.0,0.6,92.0,2.5,581.0,3.5,372.0,1.6,209.0
BLZ,Belize,proxy_regional,0.3,1.0,0.5,1.0,0.0,0.0,0.5,1.0,1.0,1.0,0.0,0.0
BEN,Benin,proxy_regional,0.7,40.0,0.8,22.0,0.6,18.0,5.1,297.0,6.2,168.0,4.0,129.0
BTN,Bhutan,proxy_regional,0.6,4.0,0.7,3.0,0.4,1.0,6.2,40.0,6.7,23.0,5.7,17.0
BOL,Bolivia (Plurinational State of),proxy_regional,0.4,40.0,0.6,31.0,0.2,9.0,1.1,105.0,1.6,79.0,0.5,26.0
BIH,Bosnia and Herzegovina,proxy_regional,0.6,40.0,1.1,34.0,0.1,6.0,1.6,108.0,2.8,87.0,0.6,21.0
BWA,Botswana,dado_proprio_do_pais,0.4,6.0,0.9,5.0,0.1,1.0,6.5,98.0,10.9,68.0,3.4,31.0
BRA,Brazil,dado_proprio_do_pais,1.3,3320.0,2.1,2404.0,0.6,916.0,3.1,8004.0,5.3,6192.0,1.2,1812.0
BRN,Brunei Darussalam,proxy_regional,0.1,0.0,0.3,0.0,0.0,0.0,1.4,4.0,2.9,4.0,0.0,0.0
BGR,Bulgaria,dado_proprio_do_pais,0.4,62.0,0.8,53.0,0.1,9.0,1.3,183.0,2.3,149.0,0.4,34.0
BFA,Burkina Faso,proxy_regional,0.1,13.0,0.2,7.0,0.1,6.0,1.0,104.0,1.3,56.0,0.8,48.0
BDI,Burundi,proxy_regional,1.2,60.0,1.8,41.0,0.7,19.0,8.9,459.0,13.0,317.0,5.2,141.0
CPV,Cabo Verde,proxy_regional,1.3,5.0,2.4,4.0,0.4,1.0,9.1,34.0,17.6,30.0,2.5,4.0
KHM,Cambodia,proxy_regional,0.2,27.0,0.4,19.0,0.1,8.0,2.2,257.0,4.1,201.0,0.8,56.0
CMR,Cameroon,proxy_regional,0.2,19.0,0.1,7.0,0.2,12.0,1.1,146.0,1.0,63.0,1.2,83.0
CAN,Canada,dado_proprio_do_pais,2.2,1651.0,3.9,1417.0,0.5,234.0,1.1,891.0,1.5,562.0,0.7,329.0
CAF,Central African Republic,proxy_regional,0.3,7.0,0.2,3.0,0.3,4.0,2.0,51.0,1.8,21.0,2.1,30.0
TCD,Chad,proxy_regional,0.2,15.0,0.3,8.0,0.2,7.0,1.8,113.0,2.0,61.0,1.5,52.0
CHL,Chile,dado_proprio_do_pais,0.3,92.0,0.5,69.0,0.1,23.0,2.1,678.0,2.5,334.0,1.8,344.0
CHN,China,dado_proprio_do_pais,1.2,27098.0,1.8,19720.0,0.6,7378.0,12.6,277882.0,17.7,192598.0,7.5,85283.0
COL,Colombia,dado_proprio_do_pais,0.6,370.0,1.1,295.0,0.2,75.0,0.9,548.0,1.4,355.0,0.6,193.0
COM,Comoros,proxy_regional,0.9,4.0,1.0,2.0,0.9,2.0,7.0,31.0,7.6,17.0,6.2,14.0
COG,Congo,proxy_regional,0.1,2.0,0.1,1.0,0.1,2.0,0.6,17.0,0.4,6.0,0.8,11.0
CRI,Costa Rica,dado_proprio_do_pais,0.5,34.0,0.8,25.0,0.2,9.0,0.8,60.0,1.2,40.0,0.5,19.0
CIV,Cote d'ivoire,proxy_regional,0.1,11.0,0.1,4.0,0.1,7.0,0.7,78.0,0.4,30.0,0.9,48.0
HRV,Croatia,dado_proprio_do_pais,0.5,47.0,0.9,37.0,0.2,11.0,1.9,158.0,3.3,123.0,0.6,35.0
CUB,Cuba,proxy_regional,1.7,365.0,3.2,322.0,0.3,43.0,3.4,717.0,6.0,613.0,0.8,103.0
